文件,中文字符串,替换值
config.py,配合新的端口切换逻辑,align with new port switching logic
config.py,端口失败后的冷却时间,cooldown after port failure
config.py,最大的失败端口记录数,max failed port records
config.py,重新启用智能端口发现,re enable smart port discovery
config.py,命令的单独超时设置,per command timeout setting
config.py,端口扫描超时时间,port scan timeout
config.py,启用自动端口切换,enable automatic port switching
config.py,连接健康检查间隔,connection health check interval
config.py,连接重试延迟,connection retry delay
config.py,减少连接问题,reduce connection issues
config.py,增加到,increase to
config.py,秒超时,seconds timeout
config.py,秒,seconds
server.py,工具函数将在需要时动态获取连接,utility will fetch a connection on demand
server.py,但不要让启动失败,but do not fail startup
server.py,始终提供连接对象,always provide a connection object
server.py,清理连接资源,clean up connection resources
server.py,尝试连接,attempt to connect
server.py,即使是,even if
connection.py,将失败的端口添加到失败列表并记录时间戳,add failed port to list with timestamp
connection.py,标记当前端口为失败并尝试其他端口,mark current port failed and try others
connection.py,成功连接后从失败列表中移除,remove from failure list after successful connect
connection.py,如果有现有连接且不强制重连,if a connection exists and reconnect is not forced
connection.py,带智能端口切换的重试机制,retry with smart port switching
connection.py,清理过期的失败端口记录,purge expired failed port entries
connection.py,验证现有连接是否还有效,verify existing connection is still valid
connection.py,解析失败但连接可能还在,parse failed but connection may still be alive
connection.py,只在严重错误时关闭连接,close connection only on critical errors
connection.py,强制重新连接到不同端口,force reconnect to a different port
connection.py,如果不是最后一次尝试,if not the last attempt
connection.py,支持字典和列表类型的,supports dict and list types
connection.py,如果所有端口都失败过,if all ports have failed
connection.py,清空失败记录重新开始,clear failure records and restart
connection.py,网络错误时才关闭连接,close connection only on network errors
connection.py,仍然尝试使用这个连接,still try using this connection
connection.py,限制失败端口记录数量,limit number of failed port entries
connection.py,获取可尝试的端口列表,get list of ports to try
connection.py,移除最早的失败记录,remove oldest failure record
connection.py,如果是连接相关错误,if it is a connection related error
connection.py,标记当前端口为失败,mark current port as failed
connection.py,排除最近失败的端口,exclude recently failed ports
connection.py,会自动添加失败端口,will auto add failed ports
connection.py,避免过于频繁的清理,avoid cleaning too frequently
connection.py,检查是否需要清理,check if cleanup is needed
connection.py,先验证连接有效性,validate connection first
connection.py,所有重试都失败了,all retries have failed
connection.py,不要立即关闭连接,do not close the connection immediately
connection.py,清理并重新创建,clean up and recreate
connection.py,如果是连接问题,if it is a connection issue
connection.py,现有连接不可用,existing connection is unavailable
connection.py,增加超时时间到,increase timeout to
connection.py,失败但连接存在,failed but connection persists
connection.py,先验证其可用性,first verify its availability
connection.py,如果已存在连接,if a connection already exists
connection.py,断开当前连接,disconnect current connection
connection.py,记录连接时间,record connection time
connection.py,检查是否包含,check whether contains
