文件,中文字符串,替换值
call_up.py,验证参数类型,Validate parameter types
call_up.py,游戏玩法控制,Gameplay control
call_up.py,不能直接调用,Cannot be called directly
call_up.py,验证输入参数,Validate input parameters
call_up.py,进行批量调用,Perform batch calls
call_up.py,核心调用工具,Core invocation utility
call_up.py,按顺序执行,Execute in order
call_up.py,要批量执行,To execute in batch
call_up.py,控制台输出,Console output
call_up.py,准备发送给,Prepare to send to
call_up.py,常用场景,Common use cases
call_up.py,必须使用,Must use
call_up.py,以及其他,And other
call_up.py,来调用此,To call this
call_up.py,用于调用,Used to invoke
call_up.py,并配置,And configure
call_up.py,器管理,Manager
call_up.py,多个,Multiple
call_up.py,参数,Parameters
call_up.py,列表,List
call_up.py,失败,Failed
call_up.py,指定,Specify
call_up.py,验证,Validate
call_up.py,功能,Function
call_up.py,个,Item
call_up.py,中,In
console.py,编辑器控制台消息,Editor console messages
console.py,点击日志时可在,On log click you can
console.py,控制台,Console
console.py,表达式,Expression
edit_particle_system.py,纹理表动画,Texture sheet animation
edit_scriptableobject.py,平衡参数,Balance parameters
edit_sprite_atlas.py,当提供,When provided
figma_manage.py,高效下载,Efficient download
figma_manage.py,功能说明,Feature description
figma_manage.py,作为补充,As a supplement
figma_manage.py,基础下载,Basic download
figma_manage.py,同时提供,Also provide
figma_manage.py,图片下载,Image download
figma_manage.py,自动转换,Auto-convert
figma_manage.py,文件名,File name
figma_manage.py,相对于,Relative to
figma_manage.py,返回的,Returned
figma_manage.py,字符串,String
figma_manage.py,根节点,Root node
figma_manage.py,仅提供,Provide only
figma_manage.py,格式为,Formatted as
figma_manage.py,适用于,Suitable for
figma_manage.py,优先,Priority
figma_manage.py,操作,Operation
figma_manage.py,返回,Return
figma_manage.py,节点,Node
figma_manage.py,编码,Encoding
figma_manage.py,调用,Invoke
figma_manage.py,深度,Depth
figma_manage.py,路径,Path
figma_manage.py,列表,List
figma_manage.py,拉取,Fetch
figma_manage.py,提供,Provide
figma_manage.py,示例,Example
figma_manage.py,包含,Include
figma_manage.py,格式,Format
figma_manage.py,本地,Local
figma_manage.py,用于,Used for
figma_manage.py,如,Such as
figma_manage.py,从,From
figma_manage.py,和,And
gameplay.py,用于控制游戏的播放状态和截图等操作,Used to control play state and take screenshots
gameplay.py,截图时使用的图像格式,Image format used for screenshots
gameplay.py,控制游戏播放进行测试,Control play for testing
gameplay.py,控制游戏流程进行演示,Control flow for demos
gameplay.py,控制游戏状态进行调试,Control state for debugging
gameplay.py,支持多种游戏控制操作,Supports multiple gameplay controls
gameplay.py,截图保存的文件路径,Screenshot save path
gameplay.py,截图的宽度像素数,Screenshot width in pixels
gameplay.py,截图记录游戏画面,Capture gameplay screenshot
gameplay.py,要执行的游戏操作,Gameplay operation to perform
gameplay.py,包含游戏播放控制,Includes play controls
gameplay.py,游戏玩法控制工具,Gameplay control tool
gameplay.py,截图的高度像素数,Screenshot height in pixels
gameplay.py,游戏状态等功能,Game state and related features
gameplay.py,游戏操作类型,Gameplay operation type
gameplay.py,自动化测试,Automated testing
gameplay.py,开发调试,Development debugging
gameplay.py,截图宽度,Screenshot width
gameplay.py,截图高度,Screenshot height
gameplay.py,演示录制,Demo recording
gameplay.py,内容创作,Content creation
gameplay.py,保存路径,Save path
gameplay.py,获取状态,Get status
gameplay.py,截图格式,Screenshot format
gameplay.py,二级工具,Secondary tool
gameplay.py,时有效,Effective when
gameplay.py,适用于,Applicable to
gameplay.py,暂停,Pause
gameplay.py,仅在,Only when
gameplay.py,截图,Screenshot
gameplay.py,播放,Play
gameplay.py,停止,Stop
gameplay.py,为,Is
game_view.py,获取当前性能和显示统计信息,Get current performance and display stats
game_view.py,设置会影响性能和画面流畅度,Settings affect performance and smoothness
game_view.py,视图的显示和性能设置,View display and performance settings
game_view.py,宽高比设置是简化实现,Aspect ratio setting is a simplified implementation
game_view.py,完整功能需要复杂的,Full functionality requires more complex
game_view.py,分辨率设置会影响,Resolution settings affect
game_view.py,设置目标帧率为,Set target frame rate to
game_view.py,获取当前分辨率,Get current resolution
game_view.py,设置无限制帧率,Set unlimited frame rate
game_view.py,窗口的显示大小,Window display size
game_view.py,表示不限制帧率,Indicates no FPS limit
game_view.py,窗口管理功能,Window management features
game_view.py,垂直同步计数,VSync count
game_view.py,窗口管理工具,Window management tool
game_view.py,窗口分辨率为,Window resolution is
game_view.py,获取统计信息,Get statistics
game_view.py,设置目标帧率,Set target frame rate
game_view.py,设置垂直同步,Set vertical sync
game_view.py,窗口统计信息,Window statistics
game_view.py,获取分辨率,Get resolution
game_view.py,宽高比设置,Aspect ratio settings
game_view.py,分辨率管理,Resolution management
game_view.py,设置和查询,Set and query
game_view.py,表示无限制,Indicates unlimited
game_view.py,最大化窗口,Maximize window
game_view.py,设置宽高比,Set aspect ratio
game_view.py,配置宽高比,Configure aspect ratio
game_view.py,支持的功能,Supported features
game_view.py,窗口分辨率,Window resolution
game_view.py,设置分辨率,Set resolution
game_view.py,和目标帧率,And target frame rate
game_view.py,用于控制,Used to control
game_view.py,性能优化,Performance optimization
game_view.py,统计信息,Statistics
game_view.py,每帧同步,Per-frame sync
