文件,中文字符串,替换值
Editor\Connection\McpService.cs,使用自定义异常来标识这是正常的连接关闭,Use a custom exception to indicate that this is a normal connection closure
Editor\Connection\McpService.cs,手动从大端序字节数组转换为长度值,Manually convert a big-endian byte array to a length value
Editor\Connection\McpService.cs,尝试序列化一个简化的错误响应,Attempt to serialize a simplified error response
Editor\Connection\McpService.cs,从流中读取指定字节数的数据,Read a specified number of bytes from the stream
Editor\Connection\McpService.cs,记录错误执行结果时发生错误,Error occurred while logging error execution result
Editor\Connection\McpService.cs,没有缓存则反射查找并缓存,Reflect to find and cache if not already cached
Editor\Connection\McpService.cs,根据命令类型决定记录方式,Determine logging method based on command type
Editor\Connection\McpService.cs,使用长度前缀协议接收数据,Receive data using length-prefixed protocol
Editor\Connection\McpService.cs,手动构建大端序字节数组,Manually construct a big-endian byte array
Editor\Connection\McpService.cs,从连接列表中移除客户端,Remove client from connection list
Editor\Connection\McpService.cs,异步执行命令时发生错误,Error occurred during asynchronous command execution
Editor\Connection\McpService.cs,记录执行结果时发生错误,Error occurred while logging execution result
Editor\Connection\McpService.cs,接收带长度前缀的数据,Receive data with length prefix
Editor\Connection\McpService.cs,开始反射查找工具实例,Start reflection to find tool instance
Editor\Connection\McpService.cs,发送带长度前缀的数据,Send data with length prefix
Editor\Connection\McpService.cs,添加客户端到连接列表,Add client to connection list
Editor\Connection\McpService.cs,客户端连接配置完成,Client connection configuration completed
Editor\Connection\McpService.cs,读取指定长度的数据,Read data of specified length
Editor\Connection\McpService.cs,清空客户端连接信息,Clear client connection information
Editor\Connection\McpService.cs,从缓存中获取到工具,Retrieve tool from cache
Editor\Connection\McpService.cs,客户端主动断开连接,Client actively disconnected
Editor\Connection\McpService.cs,记录错误执行结果到,Log error execution result to
Editor\Connection\McpService.cs,通常表示连接已断开,Usually indicates that the connection is closed
Editor\Connection\McpService.cs,更新客户端活动状态,Update client activity status
Editor\Connection\McpService.cs,统一的日志输出方法,Unified log output method
Editor\Connection\McpService.cs,客户端连接状态跟踪,Client connection state tracking
Editor\Connection\McpService.cs,停止服务时发生错误,Error occurred while stopping the service
Editor\Connection\McpService.cs,执行命令时发生错误,Error occurred while executing command
Editor\Connection\McpService.cs,处理命令时发生错误,Error occurred while processing command
Editor\Connection\McpService.cs,接收长度前缀字节,Receiving length-prefixed bytes
Editor\Connection\McpService.cs,长度前缀字节详细,Details of length-prefixed bytes
Editor\Connection\McpService.cs,命令队列处理完成,Command queue processing complete
Editor\Connection\McpService.cs,监听器已成功启动,Listener successfully started
Editor\Connection\McpService.cs,类中添加日志开关,Add log switch in class
Editor\Connection\McpService.cs,所有端口都被占用,All ports are occupied
Editor\Connection\McpService.cs,开始异步处理命令,Begin processing commands asynchronously
Editor\Connection\McpService.cs,客户端连接已关闭,Client connection closed
Editor\Connection\McpService.cs,开始处理命令队列,Start processing command queue
Editor\Connection\McpService.cs,监听循环已启动,Listener loop started
Editor\Connection\McpService.cs,监听循环已结束,Listener loop ended
Editor\Connection\McpService.cs,记录执行结果到,Logging execution result to
Editor\Connection\McpService.cs,序列化响应失败,Failed to serialize response
Editor\Connection\McpService.cs,错误响应已生成,Error response generated
Editor\Connection\McpService.cs,服务已在运行中,Service is already running
Editor\Connection\McpService.cs,监听循环已开始,Listener loop has started
Editor\Connection\McpService.cs,命令反序列化为,Command deserialized as
Editor\Connection\McpService.cs,请确保没有其他,Please ensure there are no others
Editor\Connection\McpService.cs,记录不同的日志,Log different messages
